Dim1,Dim2,Dim3,Etiqueta
5.3443975,8.353994,3.201801,berenjena
3.948493,7.864492,0.5178929,berenjena
5.073166,9.107934,2.840877,berenjena
5.0338006,9.098218,2.8973339,berenjena
5.205405,8.952492,2.9045954,berenjena
4.8770084,8.641376,2.6273565,berenjena
5.1639605,8.906083,2.9853725,berenjena
5.1824236,8.916669,2.9646442,berenjena
5.101262,9.012619,3.00204,berenjena
5.1403832,8.72594,3.185935,berenjena
5.1799455,8.928669,2.8790445,berenjena
5.310645,8.385103,3.169882,berenjena
5.020258,8.894107,2.7168887,berenjena
5.1541934,8.720553,3.1402745,berenjena
5.121794,9.052861,2.9702883,berenjena
5.275738,8.96577,2.7928336,berenjena
4.070907,7.6956725,0.5323792,berenjena
4.133654,7.6580176,0.86386615,berenjena
4.108109,7.5844593,0.87055117,berenjena
4.2288203,7.7208066,0.9378721,berenjena
4.0857887,7.670297,0.8755148,berenjena
3.9687905,7.771158,0.6712658,berenjena
5.2483134,8.355502,3.1603718,berenjena
4.5371876,7.9622993,0.9378101,berenjena
4.4761972,7.9941773,0.74872303,berenjena
4.3448167,7.933342,0.83390224,berenjena
4.3252006,8.070281,1.194585,berenjena
4.2374797,7.780427,0.70734465,berenjena
3.9986565,7.7556086,0.37224644,berenjena
4.251761,7.6141944,0.41445157,berenjena
4.3795676,8.214411,0.83801717,berenjena
4.3473616,8.013504,0.7752112,berenjena
4.3052874,7.7167926,0.6859902,berenjena
5.245777,8.349183,3.035271,berenjena
4.033103,7.955712,0.9322432,berenjena
4.052199,7.8515196,0.48359096,berenjena
4.1155972,7.627808,0.36894163,berenjena
4.4364686,7.9790273,1.0730715,berenjena
4.2657223,8.130925,1.2460893,berenjena
4.265107,7.8755884,0.66824573,berenjena
4.380199,7.89315,0.9563563,berenjena
4.0384526,7.9902835,0.7978003,berenjena
4.247909,7.596833,0.4666976,berenjena
4.1837482,8.144155,0.9960953,berenjena
4.2617445,8.513738,1.9960735,berenjena
4.4621143,7.9798493,1.3323315,berenjena
3.9449797,8.767243,2.0844646,berenjena
3.96742,8.760854,2.0955584,berenjena
3.9062445,8.819979,2.1757638,berenjena
3.9030306,8.82174,2.1570718,berenjena
3.8227687,8.90233,2.170809,berenjena
4.6854787,8.914101,2.5492313,berenjena
5.244815,8.072436,2.2221076,berenjena
4.6906223,8.201636,1.9508672,berenjena
4.269604,8.387969,2.272591,berenjena
4.706037,8.182179,1.9801451,berenjena
4.4718437,8.642024,2.2400782,berenjena
4.3288274,8.598418,2.0033548,berenjena
4.4383082,8.455091,2.0755827,berenjena
4.3398323,8.684613,2.0658236,berenjena
4.7467594,8.150047,1.8325521,berenjena
4.5716887,8.381843,2.1837947,berenjena
4.849608,8.049321,1.7987378,berenjena
4.284827,8.424934,1.9515307,berenjena
4.8283367,8.206002,1.9594182,berenjena
4.106089,8.598734,2.032313,berenjena
5.057099,8.301337,2.5010607,berenjena
5.1793003,8.083754,2.0906684,berenjena
5.109794,8.387653,2.580055,berenjena
5.0975633,8.218374,2.425835,berenjena
12.0477705,6.1257567,3.4833264,berenjena
5.050594,8.2799835,2.4118612,berenjena
4.5209713,8.31658,2.752336,berenjena
5.1890106,8.366086,3.1106296,berenjena
12.750958,8.192508,3.4468625,berenjena
11.373711,5.6140256,4.7357917,berenjena
5.0566015,8.104676,3.1892123,berenjena
4.670456,7.9730706,1.8397958,berenjena
12.638048,7.986479,3.3732383,berenjena
5.1171618,8.151993,3.0673702,berenjena
5.1138053,8.052539,3.198525,berenjena
4.9983883,8.058902,3.1491985,berenjena
4.951272,8.039848,3.0930805,berenjena
5.0288644,8.109321,3.0623121,berenjena
12.291676,5.7308993,3.3516412,camote
12.90985,5.8199935,5.4693813,camote
11.16834,3.8479257,5.635686,camote
12.742935,5.7681775,5.37857,camote
12.2864,4.7937083,4.1346216,camote
12.24116,5.43625,3.5070221,camote
12.414915,5.66579,3.1903725,camote
12.04216,5.025586,3.7525272,camote
11.898439,4.826173,4.086063,camote
11.953268,4.684945,3.8751242,camote
12.034222,4.862144,3.986924,camote
11.939857,5.0932508,3.7471333,camote
11.955431,4.8669915,3.7496421,camote
12.47422,5.1692195,3.5332675,camote
13.393056,5.7559557,5.9084105,camote
13.343673,5.5846753,5.674972,camote
13.210122,5.8819757,5.864475,camote
13.1823435,5.4701514,5.6749687,camote
13.459727,5.957757,6.1418853,camote
13.722469,6.1092687,6.1589503,camote
13.712479,6.0286007,6.154136,camote
13.7246,6.2328987,6.19101,camote
13.682818,6.2362323,6.076284,camote
11.480737,5.0126243,5.0924187,camote
12.948721,5.028655,4.8537674,camote
12.752694,5.418913,4.1442304,camote
12.595715,5.3936768,3.9800892,camote
13.523997,5.644115,5.8021793,camote
13.388586,5.9906883,5.916976,camote
12.845714,5.107254,4.6791663,camote
13.687184,6.159056,5.993263,camote
13.539385,6.0011425,6.288416,camote
13.5973425,6.1900177,6.214752,camote
12.715639,4.7706885,4.5542808,camote
12.326121,4.131993,4.150361,camote
12.351183,4.1652446,4.261073,camote
11.274848,4.5724483,5.2607517,camote
12.325961,3.80881,4.205569,camote
12.298674,4.2034035,4.231047,camote
13.542658,5.921643,5.918649,camote
12.346112,4.163732,4.1539664,camote
13.562288,6.1348867,6.2059383,camote
12.970119,5.2627945,5.0836225,camote
12.529113,4.2416325,3.6810498,camote
12.639258,3.7091842,3.671041,camote
12.759401,3.6171553,3.8061857,camote
12.599425,3.8870125,3.7357895,camote
12.005603,5.24786,3.5867004,camote
12.686738,3.5987227,3.844879,camote
12.588401,4.0787067,3.6836817,camote
12.701649,3.5283084,3.8135297,camote
12.769384,3.6467998,3.7285738,camote
12.628449,3.749801,3.8411908,camote
12.489067,4.763018,3.5659006,camote
12.848024,3.5116603,3.967019,camote
12.704467,3.6035388,3.6712694,camote
11.345628,3.5910904,5.2196493,camote
11.372843,3.8924003,5.1606464,camote
11.341874,4.7399435,5.0558057,camote
11.383547,3.8641596,5.245559,camote
11.171718,3.6606355,5.4893837,camote
11.333622,3.748413,5.397314,camote
11.794205,3.8423572,4.8209577,camote
11.400009,3.7596824,5.2116923,camote
11.083134,3.6508539,5.6687818,camote
11.156812,3.6576862,5.657598,camote
12.017661,5.2202015,4.109255,camote
13.221042,5.709799,5.5701857,camote
11.985777,5.0121875,3.8226295,camote
12.228043,5.2329373,4.085352,camote
11.018047,3.7985141,5.4446225,camote
11.052185,3.6056685,5.8796577,camote
11.018233,3.888337,5.4174843,camote
11.103696,3.701954,5.716832,camote
10.975932,3.905942,5.3000817,camote
12.425648,5.868886,2.8402252,camote
12.187326,5.3939233,3.259802,camote
10.941979,3.586293,5.4983263,camote
11.18303,3.7098963,5.5701313,camote
12.059956,5.490082,5.5632434,camote
11.913382,5.2486863,4.4819355,camote
12.9436865,8.196135,3.4954097,camote
13.3372755,6.189708,5.78975,camote
11.700815,4.170188,5.1251383,camote
12.801414,7.9671702,3.3299627,camote
11.518866,5.259297,4.7820745,camote
11.585354,5.532727,4.6068177,camote
11.728807,5.375555,4.179691,camote
11.467372,5.2052956,4.840466,camote
11.741569,5.327804,3.7880545,camote
11.507137,5.3506494,4.6913953,camote
11.583833,5.3770404,4.5737667,camote
11.648748,5.4381776,4.8058214,camote
11.50776,5.5216627,4.696598,camote
12.886241,5.802841,2.7216966,papa
12.824111,7.614464,2.0637667,papa
12.745258,6.916481,2.951414,papa
13.4065695,7.114788,2.254794,papa
12.863694,7.3034463,2.3702753,papa
12.59032,7.0038037,2.019698,papa
13.641772,6.97725,2.703402,papa
13.86497,6.5850687,5.664773,papa
12.695937,6.0796347,2.7626166,papa
13.058878,6.398186,2.9455733,papa
13.798599,7.9552617,3.5912497,papa
13.426166,6.8958254,3.087941,papa
13.157661,7.9384723,2.6903102,papa
12.498074,6.0110917,2.9798148,papa
13.147937,7.3044,2.1805546,papa
13.118917,7.3440433,2.1735044,papa
12.583996,7.0937033,1.8617862,papa
13.019518,7.9784384,2.0667434,papa
13.735132,7.1340537,4.445669,papa
13.863423,6.96033,4.876033,papa
13.712429,7.24522,3.9913328,papa
13.738232,6.987613,4.436429,papa
12.75353,6.650093,3.2162101,papa
12.933603,7.725245,1.9994564,papa
12.767395,6.192975,2.8824368,papa
13.533645,6.9897866,2.412523,papa
13.250148,7.8462,2.307437,papa
12.557271,6.9956727,2.0019453,papa
12.968107,7.8243055,1.9793111,papa
13.870422,6.985647,5.142648,papa
13.251397,7.994211,2.2498617,papa
13.58399,7.2713532,3.9334877,papa
13.098549,7.8957577,2.1241586,papa
12.949269,7.8142076,2.0394318,papa
12.882408,7.777466,2.118731,papa
13.176762,6.6887507,2.960508,papa
13.849931,7.9382043,3.3294086,papa
14.003586,7.79795,3.7104316,papa
12.420071,6.6488075,2.4022598,papa
13.867753,7.6486363,3.1297054,papa
13.931291,7.796923,3.3886836,papa
14.034659,7.8449492,3.6902082,papa
13.906854,6.6763906,5.5604444,papa
13.983089,7.811534,3.3202374,papa
13.843426,7.844064,3.1138453,papa
13.7361,7.8346257,3.438044,papa
13.828215,7.713953,3.5805135,papa
13.891924,7.939145,3.5983908,papa
13.917088,7.8991017,2.9786713,papa
12.392213,6.5324626,2.752641,papa
13.477462,8.052715,3.331432,papa
13.133398,6.184296,2.9903355,papa
13.665092,7.3625627,3.0440135,papa
13.11828,7.8050733,2.6175957,papa
13.7626915,7.367599,3.8412788,papa
12.612339,7.173781,1.9364775,papa
12.741769,7.433436,2.13448,papa
13.587026,6.9757185,2.5171125,papa
13.950102,6.6663227,5.5698633,papa
12.937417,6.068818,2.7679968,papa
12.601779,7.0370097,2.0495076,papa
13.146322,7.7883077,2.1266623,papa
11.772006,4.3014913,7.4137955,papa
13.006382,7.093766,2.578801,papa
13.300977,7.754965,2.178969,papa
13.055639,6.5593495,3.1255634,papa
13.578052,6.9846854,4.0302143,papa
13.147386,7.95028,2.2329452,papa
13.3074,7.6567736,2.5219874,papa
12.840771,6.8407083,2.498726,papa
12.80812,6.999219,2.6450586,papa
