UMAP1,UMAP2,UMAP3,Nombre,Cluster,label
1.0319977,6.97148,2.170603,berenjena,1,berenjena
-0.6433034,6.5324264,3.091398,berenjena,2,berenjena
-0.7781363,6.1140695,2.774508,berenjena,2,berenjena
-0.6681366,6.161996,3.0525398,berenjena,2,berenjena
-0.92565167,5.933838,2.9190757,berenjena,2,berenjena
-0.4493407,6.535024,2.8362327,berenjena,2,berenjena
-0.77718526,6.662822,2.946658,berenjena,2,berenjena
-0.4224517,6.8295355,2.906201,berenjena,2,berenjena
-0.80307716,6.1480627,3.225937,berenjena,2,berenjena
-0.48344362,6.941312,3.008865,berenjena,2,berenjena
0.70367295,6.8867064,1.8803904,berenjena,2,berenjena
0.4805645,6.9213476,1.7644643,berenjena,2,berenjena
0.41410518,6.8451567,1.872979,berenjena,2,berenjena
0.48154515,6.63284,2.0548782,berenjena,2,berenjena
0.78429765,7.099519,1.822719,berenjena,2,berenjena
0.782096,6.7394056,2.2841232,berenjena,2,berenjena
0.2319559,6.7256083,2.369094,berenjena,2,berenjena
-0.50253195,6.6425114,3.2440143,berenjena,2,berenjena
2.5745013,7.1999183,3.0371182,camote,1,camote
3.5143719,7.795703,3.0839572,camote,1,camote
3.4542956,7.7611136,3.1832461,camote,1,camote
3.579443,7.7521276,2.7613065,camote,1,camote
3.953146,7.49949,3.055268,camote,1,camote
4.7817793,7.7476106,3.6877859,camote,0,camote
3.0468276,7.165567,2.6990464,camote,1,camote
2.6680927,7.3331985,3.0529728,camote,1,camote
2.7312083,7.0388756,2.6767178,camote,1,camote
2.4836814,7.0389347,2.8014503,camote,1,camote
2.9184692,6.879256,2.8551838,camote,1,camote
3.480473,7.995676,3.0180998,camote,1,camote
3.4360952,7.5075665,2.9557736,camote,1,camote
5.9757366,8.55918,4.566701,papa,0,papa
5.708472,8.636113,4.4867377,papa,0,papa
5.904123,8.347467,4.7123218,papa,0,papa
5.4029894,7.939138,3.9717815,papa,0,papa
5.658688,7.779328,4.5192757,papa,0,papa
5.589623,7.6335397,4.051813,papa,0,papa
5.3239717,7.847538,4.0247436,papa,0,papa
5.6015124,8.252511,4.398309,papa,0,papa
5.758325,7.9173646,4.2570367,papa,0,papa
5.339747,8.0121565,4.500315,papa,0,papa
5.2049994,7.7413626,4.179587,papa,0,papa
16.649883,9.974072,1.3026414,zanahoria,3,zanahoria
17.505701,9.640939,0.6441738,zanahoria,3,zanahoria
17.312061,9.356481,0.6047667,zanahoria,3,zanahoria
17.46169,9.225104,0.6485242,zanahoria,3,zanahoria
16.875229,10.921595,1.1847234,zanahoria,3,zanahoria
16.575752,11.20415,1.1332666,zanahoria,3,zanahoria
16.692036,11.051762,1.0453863,zanahoria,3,zanahoria
17.318523,10.673432,0.63844305,zanahoria,3,zanahoria
17.074213,10.542549,0.6327237,zanahoria,3,zanahoria
16.563969,10.719411,1.2825798,zanahoria,3,zanahoria
16.590502,10.401887,1.3075767,zanahoria,3,zanahoria
17.227083,9.14643,1.0075593,zanahoria,3,zanahoria
16.894709,10.691626,0.75693625,zanahoria,3,zanahoria
17.554932,9.161571,0.56911725,zanahoria,3,zanahoria
17.138296,9.591119,0.5556217,zanahoria,3,zanahoria
17.17466,9.5988035,0.4548202,zanahoria,3,zanahoria
16.580053,10.334949,1.4368074,zanahoria,3,zanahoria
16.419699,10.036087,1.0764427,zanahoria,3,zanahoria
17.090397,10.151566,0.5169148,zanahoria,3,zanahoria
16.925013,10.077556,0.72923565,zanahoria,3,zanahoria
17.440441,9.651662,0.29317594,zanahoria,3,zanahoria
